Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
297843_0	0009	1	1	0	1000	1	1.414
297843_0	0009	2	0	0	0	0	�
297843_0	0009	3	0	0	0	0	�
297843_0	0009	4	0	0	0	0	�
297843_0	0009	5	0	0	0	0	�
297843_0	0009	6	0	0	0	0	�
297843_0	0009	7	24	0	1000	1	6.928
297843_0	0009	8	133	152	-0.125	0.125	1.592
297843_0	0009	9	158	316	-0.5	0.5	10.263
297843_0	0009	10	65	388	-0.832	0.832	21.462
297843_0	0009	11	99	404	-0.755	0.755	19.232
297843_0	0009	12	73	248	-0.706	0.706	13.813
297843_0	0009	13	82	380	-0.784	0.784	19.607
297843_0	0009	14	99	352	-0.719	0.719	16.848
297843_0	0009	15	201.6	392	-0.486	0.486	11.052
297843_0	0009	16	185.4	204	-0.091	0.091	1.333
297843_0	0009	17	98	212	-0.538	0.538	9.157
297843_0	0009	18	132	680	-0.806	0.806	27.197
297843_0	0009	19	97	772	-0.874	0.874	32.382
297843_0	0009	20	343	736	-0.534	0.534	16.92
297843_0	0009	21	193	524	-0.632	0.632	17.482
297843_0	0009	22	11	360	-0.969	0.969	25.624
297843_0	0009	23	110	136	-0.191	0.191	2.344
297843_0	0009	24	99	92	0.076	0.071	0.716
297843_0_r	revers_0009	1	0	0	0	0	�
297843_0_r	revers_0009	2	0	0	0	0	�
297843_0_r	revers_0009	3	0	0	0	0	�
297843_0_r	revers_0009	4	0	0	0	0	�
297843_0_r	revers_0009	5	0	0	0	0	�
297843_0_r	revers_0009	6	0	0	0	0	�
297843_0_r	revers_0009	7	46	0	1000	1	9.592
297843_0_r	revers_0009	8	121	392	-0.691	0.691	16.921
297843_0_r	revers_0009	9	95	644	-0.852	0.852	28.56
297843_0_r	revers_0009	10	67	604	-0.889	0.889	29.318
297843_0_r	revers_0009	11	61	408	-0.85	0.85	22.66
297843_0_r	revers_0009	12	57	332	-0.828	0.828	19.718
297843_0_r	revers_0009	13	87	444	-0.804	0.804	21.91
297843_0_r	revers_0009	14	67	364	-0.816	0.816	20.232
297843_0_r	revers_0009	15	106	300	-0.647	0.647	13.616
297843_0_r	revers_0009	16	40	316	-0.873	0.873	20.687
297843_0_r	revers_0009	17	37	212	-0.825	0.825	15.684
297843_0_r	revers_0009	18	60	500	-0.88	0.88	26.295
297843_0_r	revers_0009	19	45	488	-0.908	0.908	27.137
297843_0_r	revers_0009	20	32	456	-0.93	0.93	27.144
297843_0_r	revers_0009	21	32	328	-0.902	0.902	22.063
297843_0_r	revers_0009	22	30	156	-0.808	0.808	13.066
297843_0_r	revers_0009	23	43	124	-0.653	0.653	8.864
297843_0_r	revers_0009	24	2	64	-0.969	0.969	10.793
297859_0	revers_0093	1	0	0	0	0	�
297859_0	revers_0093	2	0	0	0	0	�
297859_0	revers_0093	3	0	0	0	0	�
297859_0	revers_0093	4	0	0	0	0	�
297859_0	revers_0093	5	0	0	0	0	�
297859_0	revers_0093	6	0	0	0	0	�
297859_0	revers_0093	7	0	0	0	0	�
297859_0	revers_0093	8	2	44	-0.955	0.955	8.758
297859_0	revers_0093	9	24	164	-0.854	0.854	14.44
297859_0	revers_0093	10	29	128	-0.773	0.773	11.174
297859_0	revers_0093	11	0	116	-1	1	15.232
297859_0	revers_0093	12	1	72	-0.986	0.986	11.752
297859_0	revers_0093	13	1	124	-0.992	0.992	15.558
297859_0	revers_0093	14	0	80	-1	1	12.649
297859_0	revers_0093	15	1	92	-0.989	0.989	13.345
297859_0	revers_0093	16	0	88	-1	1	13.266
297859_0	revers_0093	17	1	20	-0.95	0.95	5.864
297859_0	revers_0093	18	36	224	-0.839	0.839	16.489
297859_0	revers_0093	19	39	28	0.393	0.282	1.901
297859_0	revers_0093	20	2	148	-0.986	0.986	16.859
297859_0	revers_0093	21	0	88	-1	1	13.266
297859_0	revers_0093	22	0	80	-1	1	12.649
297859_0	revers_0093	23	0	36	-1	1	8.485
