ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-1106.1929022988493	-1106.1929022988493	-1106.1929022988493	-1106.1929022988493
1	-963.6542241379314	-1440.588879310344	-1034.923563218391	-629.2582471264365
2	-997.584224137929	-1637.514712643674	-1022.4771168582369	-483.2015804597695
3	-942.1010344827616	-1752.4372701149432	-1002.383096264365	-392.82405172413894
4	-996.8089367816053	-1855.6762643678148	-1001.2682643678198	-341.9700574712652
5	-690.9267528735614	-1859.1292816091955	-975.0209377394641	-325.44459770114844
6	9903.931857965174	-4583.665824835269	840.087798351307	13051.20782027224
7	10080.100617957074	-5388.978973772139	655.579789504661	13273.974073328534
8	9551.438687568514	-6051.392191389142	435.07502880619404	12938.777751929923
9	9424.805883823441	-6681.095988947568	297.185264177062	13177.697704740614
10	8893.781497169348	-7335.553975364311	91.06532729844017	13226.367242220886
11	8037.908330848457	-7928.366702864788	-174.6523924977228	12943.126106492633
12	6753.115844896966	-8813.791753141595	-511.8015326707272	12695.935022297392
13	6557.428847056628	-9501.513205502093	-746.68316543654	12794.92383431865
14	6480.340888261828	-10173.972016594684	-928.5742995562737	13001.369257480568
15	6364.94974008624	-10853.292416203456	-1145.924857635411	13112.833008640102
16	6068.004627023268	-11487.03057380411	-1373.50380469333	13258.05510725948
17	6210.769715225755	-11975.620563897313	-1547.4097635693504	13438.037862395218
18	6018.162673021798	-12458.405900218633	-1739.2603878335854	13367.695682752916
19	5667.84648949605	-12950.500892964426	-1956.3531130358215	13416.44666166457
20	5886.394073915289	-13399.378317204524	-2100.6285129973253	13563.610237056933
21	5320.328526568919	-13977.391732374435	-2323.6061829276377	13399.395589425256
22	5443.625616871291	-14399.588180537561	-2488.559047910759	13598.026706264458
23	5279.964946792671	-14826.1157884544	-2662.6005024283218	13562.137712666721
24	5167.900758946398	-15291.780391057844	-2829.051519235275	13676.221682831258
25	5381.988593553718	-15672.156077112737	-2960.689844495486	13788.110934021874
26	5651.019343703352	-16038.680028324296	-3051.7401187927135	13863.688605072351
27	5742.690624539076	-16436.59317353714	-3173.231823476599	14006.756420801923
28	5829.140773562732	-16793.94625876557	-3330.8467379819904	14073.182158138352
29	6563.7509862394645	-16994.72461812904	-3354.2590363737863	14278.41596973859
30	6260.189581317001	-17315.96115178408	-3469.299565580971	14269.441091846666
31	6020.460909159807	-17827.48365770086	-3586.282976196661	14425.517665173378
32	7499.524032720879	-17831.83150779178	-3482.279070888981	15054.524925970487
33	7634.533058260227	-18041.127944758697	-3504.4911576871896	15063.729885851822
34	7984.6285314547185	-18191.991086490827	-3472.825535335582	15387.623797280445
35	8285.531171321563	-18255.14349065599	-3422.971893481783	15623.45744259486
36	8756.381096176321	-18327.09802592342	-3341.208730991147	15959.368696671332
37	9158.08163448714	-18259.39193591966	-3234.7412145375997	16124.05150323757
