Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	15:51:52	15:51:52	15:51:52			15:51:52	15:51:52	15:51:53	15:51:53	15:51:53	15:51:57	15:51:57	15:51:57	15:51:57	15:51:57	15:51:57			15:51:57	15:51:57		00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
1	15:51:57	15:51:57	15:51:57	15:51:57	15:51:57	15:51:57	15:51:57	15:51:58	15:51:58	15:51:58	15:52:01	15:52:01	15:52:01	15:52:01	15:52:01	15:52:01			15:52:01	15:52:01		00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:04
2	15:52:01	15:52:01	15:52:01	15:52:01	15:52:01	15:52:01			15:52:01	15:52:01	15:52:04	15:52:04	15:52:04	15:52:04	15:52:04	15:52:04			15:52:04	15:52:04		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
3	15:52:04	15:52:04	15:52:04	15:52:04	15:52:04	15:52:04			15:52:04	15:52:04	15:52:07	15:52:07	15:52:07	15:52:07	15:52:07	15:52:07			15:52:08	15:52:08		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
4	15:52:08	15:52:08	15:52:08	15:52:08	15:52:08	15:52:08			15:52:08	15:52:08	15:52:11	15:52:11	15:52:11	15:52:11	15:52:11	15:52:11			15:52:11	15:52:11		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	15:52:11	15:52:11	15:52:11	15:52:11	15:52:11	15:52:11			15:52:11	15:52:11	15:52:14	15:52:14	15:52:14	15:52:14	15:52:14	15:52:14			15:52:14	15:52:14		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
6	15:52:14	15:52:14	15:52:14	15:52:14	15:52:15	15:52:15			15:52:15	15:52:15	15:52:17	15:52:17	15:52:17	15:52:17	15:52:17	15:52:17			15:52:18	15:52:18		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
7	15:52:18	15:52:18	15:52:18	15:52:18	15:52:18	15:52:18			15:52:18	15:52:18	15:52:21	15:52:21	15:52:21	15:52:21	15:52:21	15:52:21			15:52:21	15:52:21		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
8	15:52:21	15:52:21	15:52:21	15:52:21	15:52:21	15:52:21			15:52:21	15:52:21	15:52:24	15:52:24	15:52:24	15:52:24	15:52:24	15:52:24			15:52:24	15:52:24		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
9	15:52:24	15:52:24	15:52:24	15:52:24	15:52:24	15:52:24			15:52:24	15:52:24	15:52:27	15:52:27	15:52:27	15:52:27	15:52:27	15:52:27			15:52:28	15:52:28		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
10	15:52:28	15:52:28	15:52:28	15:52:28	15:52:28	15:52:28			15:52:28	15:52:28	15:52:31	15:52:31	15:52:31	15:52:31	15:52:31	15:52:31			15:52:31	15:52:31		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
11	15:52:31	15:52:31	15:52:31	15:52:31	15:52:31	15:52:31			15:52:31	15:52:31	15:52:34	15:52:34	15:52:34	15:52:34	15:52:34	15:52:34			15:52:34	15:52:34		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
