Link Id	Count Station Id	Hour	MATSIM volumes	Count volumes	Relative Error	Normalized Relative Error	GEH
297843_0	0009	1	0	0	0	0	�
297843_0	0009	2	0	0	0	0	�
297843_0	0009	3	0	0	0	0	�
297843_0	0009	4	0	0	0	0	�
297843_0	0009	5	0	0	0	0	�
297843_0	0009	6	0	0	0	0	�
297843_0	0009	7	26	0	1000	1	7.211
297843_0	0009	8	139	152	-0.086	0.086	1.078
297843_0	0009	9	157.6	316	-0.501	0.501	10.294
297843_0	0009	10	75	388	-0.807	0.807	20.572
297843_0	0009	11	88	404	-0.782	0.782	20.147
297843_0	0009	12	63	248	-0.746	0.746	14.836
297843_0	0009	13	81.4	380	-0.786	0.786	19.659
297843_0	0009	14	103	352	-0.707	0.707	16.509
297843_0	0009	15	179.8	392	-0.541	0.541	12.55
297843_0	0009	16	219.2	204	0.075	0.069	1.045
297843_0	0009	17	91.6	212	-0.568	0.568	9.772
297843_0	0009	18	107.4	680	-0.842	0.842	28.858
297843_0	0009	19	97.4	772	-0.874	0.874	32.356
297843_0	0009	20	335	736	-0.545	0.545	17.329
297843_0	0009	21	186	524	-0.645	0.645	17.939
297843_0	0009	22	14	360	-0.961	0.961	25.302
297843_0	0009	23	120	136	-0.118	0.118	1.414
297843_0	0009	24	93	92	0.011	0.011	0.104
297843_0_r	revers_0009	1	2	0	1000	1	2
297843_0_r	revers_0009	2	0	0	0	0	�
297843_0_r	revers_0009	3	0	0	0	0	�
297843_0_r	revers_0009	4	0	0	0	0	�
297843_0_r	revers_0009	5	0	0	0	0	�
297843_0_r	revers_0009	6	0	0	0	0	�
297843_0_r	revers_0009	7	52	0	1000	1	10.198
297843_0_r	revers_0009	8	100	392	-0.745	0.745	18.617
297843_0_r	revers_0009	9	87.4	644	-0.864	0.864	29.106
297843_0_r	revers_0009	10	47	604	-0.922	0.922	30.873
297843_0_r	revers_0009	11	62	408	-0.848	0.848	22.571
297843_0_r	revers_0009	12	78	332	-0.765	0.765	17.74
297843_0_r	revers_0009	13	69	444	-0.845	0.845	23.415
297843_0_r	revers_0009	14	57	364	-0.843	0.843	21.16
297843_0_r	revers_0009	15	90	300	-0.7	0.7	15.038
297843_0_r	revers_0009	16	46.4	316	-0.853	0.853	20.028
297843_0_r	revers_0009	17	41.6	212	-0.804	0.804	15.132
297843_0_r	revers_0009	18	60	500	-0.88	0.88	26.295
297843_0_r	revers_0009	19	38	488	-0.922	0.922	27.748
297843_0_r	revers_0009	20	32	456	-0.93	0.93	27.144
297843_0_r	revers_0009	21	30	328	-0.909	0.909	22.274
297843_0_r	revers_0009	22	37	156	-0.763	0.763	12.114
297843_0_r	revers_0009	23	47	124	-0.621	0.621	8.327
297843_0_r	revers_0009	24	2	64	-0.969	0.969	10.793
297859_0	revers_0093	1	0	0	0	0	�
297859_0	revers_0093	2	0	0	0	0	�
297859_0	revers_0093	3	0	0	0	0	�
297859_0	revers_0093	4	0	0	0	0	�
297859_0	revers_0093	5	0	0	0	0	�
297859_0	revers_0093	6	0	0	0	0	�
297859_0	revers_0093	7	0	0	0	0	�
297859_0	revers_0093	8	3	44	-0.932	0.932	8.458
297859_0	revers_0093	9	29	164	-0.823	0.823	13.743
297859_0	revers_0093	10	19	128	-0.852	0.852	12.714
297859_0	revers_0093	11	0	116	-1	1	15.232
297859_0	revers_0093	12	3	72	-0.958	0.958	11.268
297859_0	revers_0093	13	0	124	-1	1	15.748
297859_0	revers_0093	14	0	80	-1	1	12.649
297859_0	revers_0093	15	1	92	-0.989	0.989	13.345
297859_0	revers_0093	16	0	88	-1	1	13.266
297859_0	revers_0093	17	1	20	-0.95	0.95	5.864
297859_0	revers_0093	18	29	224	-0.871	0.871	17.338
297859_0	revers_0093	19	44	28	0.571	0.364	2.667
297859_0	revers_0093	20	2	148	-0.986	0.986	16.859
297859_0	revers_0093	21	0	88	-1	1	13.266
297859_0	revers_0093	22	0	80	-1	1	12.649
297859_0	revers_0093	23	0	36	-1	1	8.485
297859_0	revers_0093	24	0	16	-1	1	5.657
297859_0_r	0093	1	0	0	0	0	�
297859_0_r	0093	2	0	0	0	0	�
297859_0_r	0093	3	0	0	0	0	�
297859_0_r	0093	4	0	0	0	0	�
297859_0_r	0093	5	0	0	0	0	�
297859_0_r	0093	6	0	0	0	0	�
297859_0_r	0093	7	0	0	0	0	�
297859_0_r	0093	8	0	44	-1	1	9.381
297859_0_r	0093	9	111.6	136	-0.179	0.179	2.193
297859_0_r	0093	10	0	108	-1	1	14.697
297859_0_r	0093	11	0	64	-1	1	11.314
297859_0_r	0093	12	0	80	-1	1	12.649
297859_0_r	0093	13	1	60	-0.983	0.983	10.683
297859_0_r	0093	14	2	32	-0.938	0.938	7.276
297859_0_r	0093	15	1	36	-0.972	0.972	8.137
297859_0_r	0093	16	0	4	-1	1	2.828
297859_0_r	0093	17	1	8	-0.875	0.875	3.3
297859_0_r	0093	18	4	108	-0.963	0.963	13.898
297859_0_r	0093	19	2	28	-0.929	0.929	6.713
297859_0_r	0093	20	4	68	-0.941	0.941	10.667
297859_0_r	0093	21	1	60	-0.983	0.983	10.683
297859_0_r	0093	22	0	44	-1	1	9.381
297859_0_r	0093	23	0	20	-1	1	6.325
297859_0_r	0093	24	0	12	-1	1	4.899
297869_1	revers_1059-f	1	0	0	0	0	�
297869_1	revers_1059-f	2	0	0	0	0	�
297869_1	revers_1059-f	3	0	0	0	0	�
297869_1	revers_1059-f	4	0	0	0	0	�
297869_1	revers_1059-f	5	0	0	0	0	�
297869_1	revers_1059-f	6	0	0	0	0	�
297869_1	revers_1059-f	7	0	0	0	0	�
297869_1	revers_1059-f	8	3	28	-0.893	0.893	6.35
297869_1	revers_1059-f	9	189.4	124	0.527	0.345	5.224
297869_1	revers_1059-f	10	22	100	-0.78	0.78	9.987
297869_1	revers_1059-f	11	11.4	108	-0.894	0.894	12.502
297869_1	revers_1059-f	12	87	104	-0.163	0.163	1.74
297869_1	revers_1059-f	13	26.4	144	-0.817	0.817	12.741
297869_1	revers_1059-f	14	52	60	-0.133	0.133	1.069
297869_1	revers_1059-f	15	56	84	-0.333	0.333	3.347
297869_1	revers_1059-f	16	70	8	7.75	0.886	9.928
297869_1	revers_1059-f	17	54.6	136	-0.599	0.599	8.338
297869_1	revers_1059-f	18	332	216	0.537	0.349	7.008
297869_1	revers_1059-f	19	254	308	-0.175	0.175	3.221
297869_1	revers_1059-f	20	94	232	-0.595	0.595	10.809
297869_1	revers_1059-f	21	60	208	-0.712	0.712	12.785
297869_1	revers_1059-f	22	6	148	-0.959	0.959	16.182
297869_1	revers_1059-f	23	12	100	-0.88	0.88	11.759
297869_1	revers_1059-f	24	9	44	-0.795	0.795	6.799
297869_1_r	1059-f	1	0	0	0	0	�
297869_1_r	1059-f	2	0	0	0	0	�
297869_1_r	1059-f	3	0	0	0	0	�
297869_1_r	1059-f	4	0	0	0	0	�
297869_1_r	1059-f	5	0	0	0	0	�
297869_1_r	1059-f	6	0	0	0	0	�
297869_1_r	1059-f	7	19	0	1000	1	6.164
297869_1_r	1059-f	8	43	200	-0.785	0.785	14.243
297869_1_r	1059-f	9	227.4	472	-0.518	0.518	13.08
297869_1_r	1059-f	10	138	280	-0.507	0.507	9.822
297869_1_r	1059-f	11	14	232	-0.94	0.94	19.656
297869_1_r	1059-f	12	26	164	-0.841	0.841	14.159
297869_1_r	1059-f	13	30	140	-0.786	0.786	11.931
297869_1_r	1059-f	14	31	68	-0.544	0.544	5.259
297869_1_r	1059-f	15	47	144	-0.674	0.674	9.926
297869_1_r	1059-f	16	44	80	-0.45	0.45	4.572
297869_1_r	1059-f	17	44.6	148	-0.699	0.699	10.537
297869_1_r	1059-f	18	91	488	-0.814	0.814	23.333
297869_1_r	1059-f	19	67	512	-0.869	0.869	26.154
297869_1_r	1059-f	20	60.2	340	-0.823	0.823	19.78
297869_1_r	1059-f	21	13.8	188	-0.927	0.927	17.342
297869_1_r	1059-f	22	10	60	-0.833	0.833	8.452
297869_1_r	1059-f	23	1	52	-0.981	0.981	9.907
297869_1_r	1059-f	24	0	24	-1	1	6.928
297870_2	1194	1	0	0	0	0	�
297870_2	1194	2	0	0	0	0	�
297870_2	1194	3	0	0	0	0	�
297870_2	1194	4	0	0	0	0	�
297870_2	1194	5	0	0	0	0	�
297870_2	1194	6	0	0	0	0	�
297870_2	1194	7	1	0	1000	1	1.414
297870_2	1194	8	3	56	-0.946	0.946	9.758
297870_2	1194	9	132	104	0.269	0.212	2.578
297870_2	1194	10	27	88	-0.693	0.693	8.044
297870_2	1194	11	0	108	-1	1	14.697
297870_2	1194	12	4	68	-0.941	0.941	10.667
297870_2	1194	13	3	124	-0.976	0.976	15.184
297870_2	1194	14	24	100	-0.76	0.76	9.652
297870_2	1194	15	23	124	-0.815	0.815	11.781
297870_2	1194	16	39	40	-0.025	0.025	0.159
297870_2	1194	17	30	76	-0.605	0.605	6.319
297870_2	1194	18	147.8	132	0.12	0.107	1.336
297870_2	1194	19	181.2	104	0.742	0.426	6.465
297870_2	1194	20	92	64	0.438	0.304	3.17
297870_2	1194	21	31	84	-0.631	0.631	6.989
297870_2	1194	22	3	48	-0.938	0.938	8.911
297870_2	1194	23	5	44	-0.886	0.886	7.879
297870_2	1194	24	10	12	-0.167	0.167	0.603
297870_2_r	revers_1194	1	0	0	0	0	�
297870_2_r	revers_1194	2	0	0	0	0	�
297870_2_r	revers_1194	3	0	0	0	0	�
297870_2_r	revers_1194	4	0	0	0	0	�
297870_2_r	revers_1194	5	0	0	0	0	�
297870_2_r	revers_1194	6	0	0	0	0	�
297870_2_r	revers_1194	7	28	0	1000	1	7.483
297870_2_r	revers_1194	8	36	8	3.5	0.778	5.97
297870_2_r	revers_1194	9	105.4	92	0.146	0.127	1.349
297870_2_r	revers_1194	10	57.4	76	-0.245	0.245	2.277
297870_2_r	revers_1194	11	14	72	-0.806	0.806	8.845
297870_2_r	revers_1194	12	41	72	-0.431	0.431	4.124
297870_2_r	revers_1194	13	48	100	-0.52	0.52	6.045
297870_2_r	revers_1194	14	50.4	88	-0.427	0.427	4.52
297870_2_r	revers_1194	15	61.6	48	0.283	0.221	1.837
297870_2_r	revers_1194	16	27	64	-0.578	0.578	5.485
297870_2_r	revers_1194	17	37	72	-0.486	0.486	4.741
297870_2_r	revers_1194	18	139	132	0.053	0.05	0.601
297870_2_r	revers_1194	19	91	112	-0.188	0.188	2.084
297870_2_r	revers_1194	20	30	68	-0.559	0.559	5.429
297870_2_r	revers_1194	21	15	68	-0.779	0.779	8.227
297870_2_r	revers_1194	22	3	44	-0.932	0.932	8.458
297870_2_r	revers_1194	23	10	24	-0.583	0.583	3.395
297870_2_r	revers_1194	24	0	16	-1	1	5.657
297870_5	revers_1211-a	1	0	0	0	0	�
297870_5	revers_1211-a	2	0	0	0	0	�
297870_5	revers_1211-a	3	0	0	0	0	�
297870_5	revers_1211-a	4	0	0	0	0	�
297870_5	revers_1211-a	5	0	0	0	0	�
297870_5	revers_1211-a	6	0	0	0	0	�
297870_5	revers_1211-a	7	0	0	0	0	�
297870_5	revers_1211-a	8	3	100	-0.97	0.97	13.517
297870_5	revers_1211-a	9	163.2	240	-0.32	0.32	5.409
297870_5	revers_1211-a	10	13	132	-0.902	0.902	13.976
297870_5	revers_1211-a	11	0	100	-1	1	14.142
297870_5	revers_1211-a	12	0	92	-1	1	13.565
297870_5	revers_1211-a	13	2	100	-0.98	0.98	13.723
297870_5	revers_1211-a	14	8	108	-0.926	0.926	13.131
297870_5	revers_1211-a	15	4	148	-0.973	0.973	16.518
297870_5	revers_1211-a	16	12	124	-0.903	0.903	13.582
297870_5	revers_1211-a	17	13	120	-0.892	0.892	13.121
297870_5	revers_1211-a	18	21	196	-0.893	0.893	16.801
297870_5	revers_1211-a	19	22	220	-0.9	0.9	18
297870_5	revers_1211-a	20	19	156	-0.878	0.878	14.646
297870_5	revers_1211-a	21	11	176	-0.938	0.938	17.064
297870_5	revers_1211-a	22	1	84	-0.988	0.988	12.732
297870_5	revers_1211-a	23	0	28	-1	1	7.483
297870_5	revers_1211-a	24	4	20	-0.8	0.8	4.619
297870_5_r	1211-a	1	0	0	0	0	�
297870_5_r	1211-a	2	0	0	0	0	�
297870_5_r	1211-a	3	0	0	0	0	�
297870_5_r	1211-a	4	0	0	0	0	�
297870_5_r	1211-a	5	0	0	0	0	�
297870_5_r	1211-a	6	0	0	0	0	�
297870_5_r	1211-a	7	2	0	1000	1	2
297870_5_r	1211-a	8	11	0	1000	1	4.69
297870_5_r	1211-a	9	48	60	-0.2	0.2	1.633
297870_5_r	1211-a	10	108	68	0.588	0.37	4.264
297870_5_r	1211-a	11	2	12	-0.833	0.833	3.78
297870_5_r	1211-a	12	10	48	-0.792	0.792	7.056
297870_5_r	1211-a	13	7	24	-0.708	0.708	4.318
297870_5_r	1211-a	14	8	88	-0.909	0.909	11.547
297870_5_r	1211-a	15	13	28	-0.536	0.536	3.313
297870_5_r	1211-a	16	8	28	-0.714	0.714	4.714
297870_5_r	1211-a	17	12	52	-0.769	0.769	7.071
297870_5_r	1211-a	18	12	60	-0.8	0.8	8
297870_5_r	1211-a	19	5	96	-0.948	0.948	12.805
297870_5_r	1211-a	20	1	68	-0.985	0.985	11.407
297870_5_r	1211-a	21	0	16	-1	1	5.657
