time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	2	0	0	2	2	0	0	2
00:05:00	300	0	2	0	0	0	2	0	0
00:10:00	600	1	0	0	1	1	0	0	1
00:15:00	900	0	0	0	1	0	0	0	1
00:20:00	1200	0	1	0	0	0	1	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	0	0	0	0	0	0	0	0
03:55:00	14100	0	0	0	0	0	0	0	0
04:00:00	14400	0	0	0	0	0	0	0	0
04:05:00	14700	0	0	0	0	0	0	0	0
04:10:00	15000	0	0	0	0	0	0	0	0
04:15:00	15300	0	0	0	0	0	0	0	0
04:20:00	15600	0	0	0	0	0	0	0	0
04:25:00	15900	0	0	0	0	0	0	0	0
04:30:00	16200	0	0	0	0	0	0	0	0
04:35:00	16500	0	0	0	0	0	0	0	0
04:40:00	16800	0	0	0	0	0	0	0	0
04:45:00	17100	0	0	0	0	0	0	0	0
04:50:00	17400	0	0	0	0	0	0	0	0
04:55:00	17700	0	0	0	0	0	0	0	0
05:00:00	18000	0	0	0	0	0	0	0	0
05:05:00	18300	0	0	0	0	0	0	0	0
05:10:00	18600	0	0	0	0	0	0	0	0
05:15:00	18900	0	0	0	0	0	0	0	0
05:20:00	19200	0	0	0	0	0	0	0	0
05:25:00	19500	0	0	0	0	0	0	0	0
05:30:00	19800	0	0	0	0	0	0	0	0
05:35:00	20100	0	0	0	0	0	0	0	0
05:40:00	20400	1	1	0	0	1	1	0	0
05:45:00	20700	0	0	0	0	0	0	0	0
05:50:00	21000	0	0	0	0	0	0	0	0
05:55:00	21300	0	0	0	0	0	0	0	0
06:00:00	21600	2	1	0	1	2	1	0	1
06:05:00	21900	1	1	0	1	1	1	0	1
06:10:00	22200	0	1	0	0	0	1	0	0
06:15:00	22500	1	0	0	1	1	0	0	1
06:20:00	22800	3	0	0	4	3	0	0	4
06:25:00	23100	60	1	0	63	60	1	0	63
06:30:00	23400	75	26	0	112	75	26	0	112
06:35:00	23700	65	58	0	119	65	58	0	119
06:40:00	24000	60	61	0	118	60	61	0	118
06:45:00	24300	17	63	0	72	17	63	0	72
06:50:00	24600	0	64	0	8	0	64	0	8
06:55:00	24900	2	8	0	2	2	8	0	2
07:00:00	25200	93	13	0	82	93	13	0	82
07:05:00	25500	2	43	0	41	2	43	0	41
07:10:00	25800	7	34	0	14	7	34	0	14
07:15:00	26100	11	17	0	8	11	17	0	8
07:20:00	26400	33	12	0	29	33	12	0	29
07:25:00	26700	199	13	0	215	199	13	0	215
07:30:00	27000	163	84	0	294	163	84	0	294
07:35:00	27300	156	120	0	330	156	120	0	330
07:40:00	27600	129	126	0	333	129	126	0	333
07:45:00	27900	40	155	0	218	40	155	0	218
07:50:00	28200	17	137	0	98	17	137	0	98
07:55:00	28500	43	82	0	59	43	82	0	59
08:00:00	28800	54	34	0	79	54	34	0	79
08:05:00	29100	55	53	0	81	55	53	0	81
08:10:00	29400	65	53	0	93	65	53	0	93
08:15:00	29700	47	65	0	75	47	65	0	75
08:20:00	30000	87	56	0	106	87	56	0	106
08:25:00	30300	464	33	0	537	464	33	0	537
08:30:00	30600	377	249	0	665	377	249	0	665
08:35:00	30900	347	359	0	653	347	359	0	653
08:40:00	31200	360	343	0	670	360	343	0	670
08:45:00	31500	155	331	0	494	155	331	0	494
08:50:00	31800	40	252	0	282	40	252	0	282
08:55:00	32100	281	166	0	397	281	166	0	397
09:00:00	32400	242	202	0	437	242	202	0	437
09:05:00	32700	232	218	0	451	232	218	0	451
09:10:00	33000	224	198	0	477	224	198	0	477
09:15:00	33300	82	220	0	339	82	220	0	339
09:20:00	33600	14	212	0	141	14	212	0	141
09:25:00	33900	83	83	0	141	83	83	0	141
09:30:00	34200	98	70	0	169	98	70	0	169
09:35:00	34500	97	91	0	175	97	91	0	175
09:40:00	34800	103	89	0	189	103	89	0	189
09:45:00	35100	38	88	0	139	38	88	0	139
09:50:00	35400	15	80	0	74	15	80	0	74
09:55:00	35700	15	64	0	25	15	64	0	25
10:00:00	36000	14	13	0	26	14	13	0	26
