ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-1106.1929022988493	-1106.1929022988493	-1106.1929022988493	-1106.1929022988493
1	-963.6542241379314	-1440.588879310344	-1034.923563218391	-629.2582471264365
2	-997.584224137929	-1637.514712643674	-1022.4771168582369	-483.2015804597695
3	-942.1010344827616	-1752.4372701149432	-1002.383096264365	-392.82405172413894
4	-996.8089367816053	-1855.6762643678148	-1001.2682643678198	-341.9700574712652
5	-690.9267528735614	-1859.1292816091955	-975.0209377394641	-325.44459770114844
6	-492.00479885057615	-1858.4749137931044	-952.1134510125892	-307.48183908046065
7	-405.1069540229886	-1858.33577586207	-938.2934757457575	-293.51669540229926
8	-363.93600574712576	-1828.302356321839	-922.6631027298856	-282.6214080459767
9	-349.85876436781604	-1821.9093103448286	-912.538930042416	-277.68408045977054
10	-337.19040229885155	-1813.6121551724143	-902.6956116242496	-273.65732758620715
11	-325.7651724137925	-1805.5202873563235	-892.4792529419789	-269.588965517241
12	-319.93241379310376	-1795.1253735632188	-881.7320903461956	-266.6735057471259
13	-316.7431321839076	-1783.0230172413794	-870.7577716543473	-265.3208045977008
14	-317.99827586206817	-1765.6619252873566	-859.7890188149992	-264.8204885057465
15	-323.96514367816076	-1749.4206896551734	-848.6418483169128	-266.7461781609193
16	-308.4283045977004	-1732.0483908045983	-835.2753066160376	-260.6679597701148
17	-311.7443965517245	-1713.9624999999996	-825.2860142993964	-261.9477011494254
18	-306.6212068965516	-1695.9372701149425	-814.1690650998889	-260.64060344827595
19	-309.40675287356294	-1674.0138793103445	-803.2579880610307	-259.74925287356274
20	-302.75206896551737	-1653.0914942528752	-790.3836186371113	-257.17474137930907
21	-304.580660919541	-1607.287356321841	-775.6948323070607	-256.6801436781605
22	-304.5414655172415	-1587.342672413795	-764.6814250821033	-255.4120689655178
23	-294.76327586206844	-1562.8475862068951	-751.6520789203631	-252.04462643678156
24	-292.905028735632	-1537.9322413793077	-739.1419552203064	-251.19373563218397
25	-294.3516666666675	-1512.6183333333313	-727.2272052203058	-251.01997126436822
26	-289.12727011494235	-1485.425258620687	-713.9132315270912	-248.84893678160924
27	-290.1813505747131	-1460.2928735632156	-702.1017183908041	-248.89011494252927
28	-290.1397988505742	-1435.1361494252856	-689.95166054324	-249.36977011494284
29	-289.7318103448267	-1407.744051724134	-678.1395731048163	-249.09198275862073
30	-288.9136494252861	-1382.9969827586156	-666.7664223453739	-247.8151724137928
31	-289.1693390804596	-1355.8387356321805	-654.9502987821558	-247.98175287356352
32	-281.14074712643594	-1327.6474137931002	-642.5291916735073	-245.45821839080466
33	-282.05040229884975	-1303.5206034482744	-632.3134167350855	-245.18054597701177
34	-282.2728448275865	-1276.729109195399	-621.5701568486586	-245.12614942528737
35	-277.41037356321726	-1249.4210919540203	-609.872857382319	-242.5210919540222
