Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:41:08	16:41:08	16:41:08			16:41:08	16:41:08	16:41:08	16:41:08	16:41:08	16:41:13	16:41:13	16:41:13	16:41:13	16:41:13	16:41:13			16:41:14	16:41:14		00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:06
1	16:41:14	16:41:14	16:41:14	16:41:14	16:41:14	16:41:14	16:41:14	16:41:14	16:41:14	16:41:14	16:41:18	16:41:18	16:41:18	16:41:18	16:41:18	16:41:18			16:41:18	16:41:18		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
2	16:41:18	16:41:18	16:41:18	16:41:18	16:41:18	16:41:18			16:41:18	16:41:18	16:41:21	16:41:21	16:41:21	16:41:21	16:41:21	16:41:21			16:41:22	16:41:22		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
3	16:41:22	16:41:22	16:41:22	16:41:22	16:41:22	16:41:22			16:41:22	16:41:22	16:41:25	16:41:25	16:41:25	16:41:25	16:41:25	16:41:25			16:41:25	16:41:25		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
4	16:41:25	16:41:25	16:41:25	16:41:25	16:41:25	16:41:25			16:41:25	16:41:25	16:41:28	16:41:28	16:41:28	16:41:28	16:41:28	16:41:28			16:41:29	16:41:29		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
5	16:41:29	16:41:29	16:41:29	16:41:29	16:41:29	16:41:29			16:41:29	16:41:29	16:41:32	16:41:32	16:41:32	16:41:32	16:41:32	16:41:32			16:41:32	16:41:32		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
6	16:41:32	16:41:32	16:41:32	16:41:32	16:41:32	16:41:32			16:41:32	16:41:32	16:41:35	16:41:35	16:41:35	16:41:35	16:41:35	16:41:35			16:41:36	16:41:36		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
7	16:41:36	16:41:36	16:41:36	16:41:36	16:41:36	16:41:36			16:41:36	16:41:36	16:41:39	16:41:39	16:41:39	16:41:39	16:41:39	16:41:39			16:41:39	16:41:39		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
8	16:41:39	16:41:39	16:41:39	16:41:39	16:41:39	16:41:39			16:41:39	16:41:39	16:41:42	16:41:42	16:41:42	16:41:42	16:41:42	16:41:42			16:41:43	16:41:43		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
9	16:41:43	16:41:43	16:41:43	16:41:43	16:41:43	16:41:43			16:41:43	16:41:43	16:41:46	16:41:46	16:41:46	16:41:46	16:41:46	16:41:46			16:41:46	16:41:46		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
10	16:41:46	16:41:46	16:41:46	16:41:46	16:41:46	16:41:46			16:41:46	16:41:46	16:41:49	16:41:49	16:41:49	16:41:49	16:41:49	16:41:49			16:41:50	16:41:50		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
11	16:41:50	16:41:50	16:41:50	16:41:50	16:41:50	16:41:50			16:41:50	16:41:50	16:41:53	16:41:53	16:41:53	16:41:53	16:41:53	16:41:53			16:41:53	16:41:53		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
12	16:41:53	16:41:53	16:41:53	16:41:53	16:41:53	16:41:53			16:41:53	16:41:53	16:41:56	16:41:56	16:41:56	16:41:56	16:41:56	16:41:56			16:41:56	16:41:56		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
13	16:41:56	16:41:56	16:41:56	16:41:56	16:41:56	16:41:56			16:41:56	16:41:56	16:41:59	16:41:59	16:41:59	16:41:59	16:41:59	16:41:59			16:42:00	16:42:00		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
14	16:42:00	16:42:00	16:42:00	16:42:00	16:42:00	16:42:00			16:42:00	16:42:00	16:42:03	16:42:03	16:42:03	16:42:03	16:42:03	16:42:03			16:42:03	16:42:03		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
15	16:42:03	16:42:03	16:42:03	16:42:03	16:42:03	16:42:03			16:42:03	16:42:03	16:42:06	16:42:06	16:42:06	16:42:06	16:42:06	16:42:06			16:42:06	16:42:06		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
16	16:42:06	16:42:06	16:42:06	16:42:06	16:42:06	16:42:06			16:42:06	16:42:06	16:42:09	16:42:09	16:42:09	16:42:09	16:42:09	16:42:09			16:42:10	16:42:10		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
17	16:42:10	16:42:10	16:42:10	16:42:10	16:42:10	16:42:10			16:42:10	16:42:10	16:42:13	16:42:13	16:42:13	16:42:13	16:42:13	16:42:13			16:42:13	16:42:13		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
